batsman,id,inning,leftfast_bowlers,leftfastmedium_bowlers,leftmediumfast_bowlers,leftmedium_bowlers,leftorthodox_bowlers,leftlegbreak_bowlers,leftmystery_bowlers,rightfast_bowlers,rightfastmedium_bowlers,rightmediumfast_bowlers,rightmedium_bowlers,rightorthodox_bowlers,rightlegbreak_bowlers,rightmystery_bowlers,batsman_hand,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed,match_runs
AM Rahane,1254064,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,121,95,4,0,0,0,0,0,0,193,160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,1673,61,8
AM Rahane,1304052,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,100,4,0,0,0,0,0,0,0,0,0,348,275,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,1683,62,9
AM Rahane,1304102,1,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,98,87,3,0,0,0,0,0,0,0,0,0,0,0,0,278,247,11,198,165,4,0,0,0,256,191,6,68,59,2,0,0,0,0,0,0,0,0,0,2068,1708,63,25
AM Rahane,1304107,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,117,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,167,5,0,0,0,0,0,0,0,0,0,402,354,12,0,0,0,95,77,3,2096,1733,64,28
AM Rahane,335997,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,4
AM Rahane,392222,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,17,2,1
AM Rahane,392225,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2,4,0,0,0,0,0,0,0,8,24,3,3
AM Rahane,501204,2,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,8,7,0,0,3,1,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,4,18
AM Rahane,501235,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,19,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,50,4,15
AM Rahane,501249,2,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,1,11,8,0,0,0,0,93,86,5,52
AM Rahane,548317,2,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,34,23,0,7,12,1,0,0,0,0,0,0,1,3,1,37,26,1,0,0,0,6,4,0,133,117,6,40
AM Rahane,548326,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,0,9,15,1,32,33,1,11,11,3,0,0,0,48,31,1,0,0,0,0,0,0,177,149,7,44
AM Rahane,548336,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,1,0,0,0,38,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,168,8,13
AM Rahane,548345,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,23,0,0,0,0,66,53,1,21,29,1,79,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,233,8,84
AM Rahane,548358,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,34,2,0,0,0,0,0,0,274,236,9,0
AM Rahane,598014,2,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,76,1,20,19,3,0,0,0,50,43,2,0,0,0,16,18,0,308,279,9,34
AM Rahane,598032,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,2,93,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,288,10,1
AM Rahane,598036,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,93,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,295,11,2
AM Rahane,598047,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,74,59,1,0,0,0,0,0,0,31,30,3,19,14,1,77,58,3,0,0,0,0,0,0,378,345,12,67
AM Rahane,598049,2,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,71,1,41,49,2,109,95,2,0,0,0,0,0,0,87,66,3,0,0,0,21,20,0,441,392,12,63
AM Rahane,598052,2,0,0,0,0,1,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,79,1,0,0,0,133,112,2,47,40,3,0,0,0,102,83,3,0,0,0,0,0,0,500,444,12,59
AM Rahane,598058,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,93,4,0,0,0,0,0,0,509,454,13,9
AM Rahane,598063,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,100,5,0,0,0,0,0,0,513,462,14,4
AM Rahane,598065,2,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,57,2,134,118,2,55,47,4,0,0,0,115,104,5,0,0,0,0,0,0,525,487,15,12
AM Rahane,598071,2,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,63,2,143,124,2,56,50,5,0,0,0,121,109,5,0,0,0,0,0,0,543,507,16,18
AM Rahane,729285,2,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,69,2,159,139,2,74,67,6,0,0,0,135,126,5,0,0,0,0,0,0,602,562,17,59
AM Rahane,729297,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,147,2,0,0,0,0,0,0,142,128,5,11,10,1,0,0,0,617,574,18,15
AM Rahane,729305,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,594,19,23
AM Rahane,733975,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,93,83,1,0,0,0,176,156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,604,20,12
AM Rahane,733989,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,131,6,0,0,0,0,0,0,652,607,21,0
AM Rahane,733999,2,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,21,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,86,1,62,72,2,179,163,2,74,68,7,0,0,0,153,139,6,0,0,0,0,0,0,676,630,22,24
AM Rahane,734033,2,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,16,22,1,0,0,0,0,0,0,0,0,0,0,0,0,98,90,1,0,0,0,0,0,0,75,69,7,0,0,0,167,156,7,0,0,0,0,0,0,699,657,23,23
AM Rahane,829715,2,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,38,0,0,0,0,107,94,1,0,0,0,191,170,2,81,79,8,0,0,0,171,163,7,0,0,0,0,0,0,746,698,24,47
AM Rahane,829721,2,0,0,2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,47,0,0,0,0,124,108,1,65,74,2,0,0,0,87,85,9,0,0,0,177,171,7,0,0,0,0,0,0,792,737,25,46
AM Rahane,829727,2,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,32,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,96,9,32,29,1,198,189,7,0,0,0,0,0,0,854,795,26,62
AM Rahane,829735,2,0,1,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,53,50,2,0,0,0,0,0,0,0,0,0,0,0,0,132,117,1,0,0,0,0,0,0,0,0,0,0,0,0,234,214,7,22,17,1,0,0,0,930,850,26,76
AM Rahane,829769,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,61,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,79,2,0,0,0,0,0,0,0,0,0,234,215,8,0,0,0,0,0,0,946,864,27,16
AM Rahane,829787,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,221,9,0,0,0,0,0,0,954,870,28,8
