id,inning,batsman,batsman_hand,leftfast_bowlers,leftfast_cumruns,leftfast_cumballs,leftfast_cumdismissals,leftfastmedium_bowlers,leftfastmedium_cumruns,leftfastmedium_cumballs,leftfastmedium_cumdismissals,leftlegbreak_bowlers,leftlegbreak_cumruns,leftlegbreak_cumballs,leftlegbreak_cumdismissals,leftmedium_bowlers,leftmedium_cumruns,leftmedium_cumballs,leftmedium_cumdismissals,leftmediumfast_bowlers,leftmediumfast_cumruns,leftmediumfast_cumballs,leftmediumfast_cumdismissals,leftmystery_bowlers,leftmystery_cumruns,leftmystery_cumballs,leftmystery_cumdismissals,leftorthodox_bowlers,leftorthodox_cumruns,leftorthodox_cumballs,leftorthodox_cumdismissals,rightfast_bowlers,rightfast_cumruns,rightfast_cumballs,rightfast_cumdismissals,rightfastmedium_bowlers,rightfastmedium_cumruns,rightfastmedium_cumballs,rightfastmedium_cumdismissals,rightlegbreak_bowlers,rightlegbreak_cumruns,rightlegbreak_cumballs,rightlegbreak_cumdismissals,rightmedium_bowlers,rightmedium_cumruns,rightmedium_cumballs,rightmedium_cumdismissals,rightmediumfast_bowlers,rightmediumfast_cumruns,rightmediumfast_cumballs,rightmediumfast_cumdismissals,rightmystery_bowlers,rightmystery_cumruns,rightmystery_cumballs,rightmystery_cumdismissals,rightorthodox_bowlers,rightorthodox_cumruns,rightorthodox_cumballs,rightorthodox_cumdismissals,overall_runs,overall_balls,overall_dismissed
829787,2,DJ Hooda,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,19,2,1,4,4,0,1,18,7,0,0,0,0,0,0,0,0,0,75,43,4
829787,2,JP Faulkner,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,13,1,1,27,28,2,1,4,4,0,3,67,42,5,0,0,0,0,0,0,0,0,230,151,8
829787,2,KK Nair,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,33,0,1,55,31,1,0,0,0,0,2,24,18,2,0,0,0,0,0,0,0,0,241,178,9
829787,2,SPD Smith,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,58,4,1,61,60,2,1,31,20,1,3,148,118,1,0,0,0,0,0,0,0,0,619,492,16
829787,2,SR Watson,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,98,5,0,0,0,0,0,0,0,0,2,368,255,5,0,0,0,0,0,0,0,0,1222,858,30
829787,2,STR Binny,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,74,4,0,0,0,0,0,0,0,0,292,251,9
829787,2,SV Samson,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,1,2,117,111,5,0,0,0,0,0,0,0,0,433,376,19
829789,1,BB McCullum,right,0,0,0,0,1,127,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,195,191,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,137,6,0,0,0,0,0,0,0,0,1191,932,37
829789,1,DR Smith,right,0,0,0,0,1,24,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,145,108,7,0,0,0,0,1,144,124,1,0,0,0,0,0,0,0,0,1,161,159,6,0,0,0,0,1,87,52,2,830,707,31
829789,1,F du Plessis,right,0,0,0,0,1,21,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,72,2,0,0,0,0,1,38,41,2,441,359,13
829789,1,MS Dhoni,right,0,0,0,0,1,129,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206,219,7,0,0,0,0,1,279,211,8,0,0,0,0,0,0,0,0,2,385,256,11,0,0,0,0,1,153,101,0,1915,1377,46
829789,1,P Negi,left,0,0,0,0,1,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12,0,0,0,0,0,0,0,0,0,1,11,6,0,0,0,0,0,0,0,0,0,76,39,2
829789,1,SK Raina,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,112,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,534,375,14,0,0,0,0,1,336,275,9,2315,1725,64
829789,2,AT Rayudu,right,0,0,0,0,1,85,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,135,111,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217,190,5,0,0,0,0,0,0,0,0,923,762,29
829789,2,HH Pandya,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,26,19,2
829789,2,KA Pollard,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,451,25
829789,2,LMP Simmons,right,0,0,0,0,1,36,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,46,3,1,10,14,1,0,0,0,0,233,173,5
829789,2,PA Patel,left,0,0,0,0,1,78,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,111,9,1,34,55,3,0,0,0,0,822,789,32
829789,2,RG Sharma,right,0,0,0,0,1,42,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,194,217,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,274,219,13,1,71,81,3,0,0,0,0,1250,1080,47
829791,1,DA Miller,left,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,76,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,370,15
829791,1,GJ Maxwell,right,0,0,0,0,0,0,0,0,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,35,2,1,102,46,6,0,0,0,0,0,0,0,0,1,58,36,2,0,0,0,0,419,240,14
829791,1,Gurkeerat Singh,right,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,107,9
829791,1,M Vijay,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,237,176,7,0,0,0,0,0,0,0,0,0,0,0,0,1,24,22,1,1,157,110,4,1260,989,42
829791,1,M Vohra,right,0,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,44,0,1,34,30,4,0,0,0,0,0,0,0,0,1,24,28,1,1,9,10,0,289,245,10
829791,1,WP Saha,right,0,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,125,67,3,1,85,68,5,0,0,0,0,0,0,0,0,1,57,36,1,0,0,0,0,623,470,21
829791,2,AD Russell,right,0,0,0,0,1,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,59,2,0,0,0,0,1,0,2,0,251,148,8
829791,2,G Gambhir,left,0,0,0,0,1,92,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,547,441,18,0,0,0,0,2,166,133,7,1769,1531,54
829791,2,GB Hogg,left,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,11,2,0,0,0,0,0,0,0,0,22,22,2
829791,2,J Botha,right,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,66,3,0,0,0,0,0,0,0,0,271,233,9
829791,2,MK Pandey,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,116,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,251,190,7,0,0,0,0,2,74,71,4,892,791,35
829791,2,PP Chawla,left,0,0,0,0,1,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,40,8,0,0,0,0,0,0,0,0,218,182,16
829791,2,RV Uthappa,right,0,0,0,0,1,85,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,428,318,14,0,0,0,0,0,0,0,0,1777,1363,57
